n= 2 q=    4 d=   3 |pairs|=    2 |valid|=    0 |V*|=    2 |P|= 2 Jin=[]
n= 3 q=    8 d=   7 |pairs|=   30 |valid|=   24 |V*|=   30 |P|= 6 Jin=[]
n= 4 q=   16 d=   3 |pairs|=    2 |valid|=    0 |V*|=    2 |P|= 2 Jin=[]
n= 4 q=   16 d=   5 |pairs|=   12 |valid|=    0 |V*|=    0 |P|= 0 Jin=[3]
n= 4 q=   16 d=  15 |pairs|=  182 |valid|=  168 |V*|=  182 |P|=14 Jin=[]
n= 5 q=   32 d=  31 |pairs|=  870 |valid|=  840 |V*|=  870 |P|=30 Jin=[]
n= 6 q=   64 d=   3 |pairs|=    2 |valid|=    0 |V*|=    2 |P|= 2 Jin=[]
n= 6 q=   64 d=   7 |pairs|=   30 |valid|=   24 |V*|=   30 |P|= 6 Jin=[]
n= 6 q=   64 d=   9 |pairs|=   56 |valid|=    0 |V*|=    2 |P|= 2 Jin=[5, 7]
n= 6 q=   64 d=  21 |pairs|=  380 |valid|=   96 |V*|=  104 |P|= 8 Jin=[11]
n= 6 q=   64 d=  63 |pairs|= 3782 |valid|= 3720 |V*|= 3782 |P|=62 Jin=[]
n= 8 q=  256 d=   3 |pairs|=    2 |valid|=    0 |V*|=    2 |P|= 2 Jin=[]
n= 8 q=  256 d=   5 |pairs|=   12 |valid|=    0 |V*|=    0 |P|= 0 Jin=[3]
n= 8 q=  256 d=  15 |pairs|=  182 |valid|=  168 |V*|=  182 |P|=14 Jin=[]
n= 8 q=  256 d=  17 |pairs|=  240 |valid|=    0 |V*|=    0 |P|= 0 Jin=[9, 13, 15]
n= 8 q=  256 d=  51 |pairs|= 2450 |valid|=  480 |V*|=  482 |P|= 2 Jin=[13, 26]
n= 8 q=  256 d=  85 |pairs|= 6972 |valid|= 2208 |V*|= 2232 |P|=24 Jin=[43]
n= 9 q=  512 d=   7 |pairs|=   30 |valid|=   24 |V*|=   30 |P|= 6 Jin=[]
n= 9 q=  512 d=  73 |pairs|= 5112 |valid|=  720 |V*|=  738 |P|=18 Jin=[37, 55]
n=10 q= 1024 d=   3 |pairs|=    2 |valid|=    0 |V*|=    2 |P|= 2 Jin=[]
n=10 q= 1024 d=  11 |pairs|=   90 |valid|=    0 |V*|=    0 |P|= 0 Jin=[3, 5, 6, 7, 9]
n=10 q= 1024 d=  31 |pairs|=  870 |valid|=  840 |V*|=  870 |P|=30 Jin=[]
n=10 q= 1024 d=  33 |pairs|=  992 |valid|=    0 |V*|=    2 |P|= 2 Jin=[17, 25, 29, 31]
n=10 q= 1024 d=  93 |pairs|= 8372 |valid|= 1200 |V*|= 1232 |P|=32 Jin=[35, 47, 70]
n=11 q= 2048 d=  23 |pairs|=  462 |valid|=    0 |V*|=    0 |P|= 0 Jin=[3, 6, 9, 12, 13]
n=11 q= 2048 d=  89 |pairs|= 7656 |valid|=  264 |V*|=  264 |P|= 0 Jin=[39, 45, 67, 78]
n=12 q= 4096 d=   3 |pairs|=    2 |valid|=    0 |V*|=    2 |P|= 2 Jin=[]
n=12 q= 4096 d=   5 |pairs|=   12 |valid|=    0 |V*|=    0 |P|= 0 Jin=[3]
n=12 q= 4096 d=   7 |pairs|=   30 |valid|=   24 |V*|=   30 |P|= 6 Jin=[]
n=12 q= 4096 d=   9 |pairs|=   56 |valid|=    0 |V*|=    2 |P|= 2 Jin=[5, 7]
n=12 q= 4096 d=  13 |pairs|=  132 |valid|=    0 |V*|=    0 |P|= 0 Jin=[3, 5, 6, 7, 9]
n=12 q= 4096 d=  15 |pairs|=  182 |valid|=  168 |V*|=  182 |P|=14 Jin=[]
n=12 q= 4096 d=  21 |pairs|=  380 |valid|=   96 |V*|=  104 |P|= 8 Jin=[11]
n=12 q= 4096 d=  35 |pairs|= 1122 |valid|=   24 |V*|=   30 |P|= 6 Jin=[9, 11, 18, 22, 23]
n=12 q= 4096 d=  39 |pairs|= 1406 |valid|=    0 |V*|=    2 |P|= 2 Jin=[5, 10, 11, 20, 22]
n=12 q= 4096 d=  45 |pairs|= 1892 |valid|=  168 |V*|=  182 |P|=14 Jin=[17, 19, 23, 31, 34]
n=12 q= 4096 d=  63 |pairs|= 3782 |valid|= 3720 |V*|= 3782 |P|=62 Jin=[]
n=12 q= 4096 d=  65 |pairs|= 4032 |valid|=    0 |V*|=    0 |P|= 0 Jin=[33, 49, 57, 61, 63]
n=12 q= 4096 d=  91 |pairs|= 8010 |valid|=  120 |V*|=  126 |P|= 6 Jin=[23, 37, 46, 57, 74]
STATS: {'case': 39, 'Vstar_tot': 15484, 'P_tot': 388, 'z_zero': 388, 'orbit_full': 30, 'orbit_partial': 0, 'y_in_orbit_of_x': 76, 'deg_hist': {2: 40, 3: 60, 4: 48, 5: 90, 6: 108, 8: 24, 9: 18}, 'ordz_div_d': 0, 'ordz_subfield': 0, 'ordz_general': 0, 'kx_lt_n': 242, 'kx_eq_n': 146, 'Pmax': 62}
ORBLEN: {2: 20, 3: 20, 4: 12, 5: 18, 6: 18, 8: 3, 9: 2}
