n= 2 q=    4 d=   3 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n= 3 q=    8 d=   7 |I|=   6 |Px|=   6 |I-Px|=0 |Px-I|=0 |V*|=   30 |valid|=   24 |P*|=  6 λ2=   6
n= 4 q=   16 d=   3 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n= 4 q=   16 d=   5 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
n= 4 q=   16 d=  15 |I|=  14 |Px|=  14 |I-Px|=0 |Px-I|=0 |V*|=  182 |valid|=  168 |P*|= 14 λ2=  14
n= 5 q=   32 d=  31 |I|=  30 |Px|=  30 |I-Px|=0 |Px-I|=0 |V*|=  870 |valid|=  840 |P*|= 30 λ2=  30
n= 6 q=   64 d=   3 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n= 6 q=   64 d=   7 |I|=   6 |Px|=   6 |I-Px|=0 |Px-I|=0 |V*|=   30 |valid|=   24 |P*|=  6 λ2=   6
n= 6 q=   64 d=   9 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n= 6 q=   64 d=  21 |I|=   8 |Px|=   8 |I-Px|=0 |Px-I|=0 |V*|=  104 |valid|=   96 |P*|=  8 λ2=   8
n= 6 q=   64 d=  63 |I|=  62 |Px|=  62 |I-Px|=0 |Px-I|=0 |V*|= 3782 |valid|= 3720 |P*|= 62 λ2=  62
n= 8 q=  256 d=   3 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n= 8 q=  256 d=   5 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
n= 8 q=  256 d=  15 |I|=  14 |Px|=  14 |I-Px|=0 |Px-I|=0 |V*|=  182 |valid|=  168 |P*|= 14 λ2=  14
n= 8 q=  256 d=  17 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
n= 8 q=  256 d=  51 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=  482 |valid|=  480 |P*|=  2 λ2=   2
n= 8 q=  256 d=  85 |I|=  24 |Px|=  24 |I-Px|=0 |Px-I|=0 |V*|= 2232 |valid|= 2208 |P*|= 24 λ2=  24
n= 9 q=  512 d=   7 |I|=   6 |Px|=   6 |I-Px|=0 |Px-I|=0 |V*|=   30 |valid|=   24 |P*|=  6 λ2=   6
n= 9 q=  512 d=  73 |I|=  18 |Px|=  18 |I-Px|=0 |Px-I|=0 |V*|=  738 |valid|=  720 |P*|= 18 λ2=  18
n=10 q= 1024 d=   3 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n=10 q= 1024 d=  11 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
n=10 q= 1024 d=  31 |I|=  30 |Px|=  30 |I-Px|=0 |Px-I|=0 |V*|=  870 |valid|=  840 |P*|= 30 λ2=  30
n=10 q= 1024 d=  33 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n=10 q= 1024 d=  93 |I|=  32 |Px|=  32 |I-Px|=0 |Px-I|=0 |V*|= 1232 |valid|= 1200 |P*|= 32 λ2=  32
n=11 q= 2048 d=  23 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
n=11 q= 2048 d=  89 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=  264 |valid|=  264 |P*|=  0 λ2=   0
n=12 q= 4096 d=   3 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n=12 q= 4096 d=   5 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
n=12 q= 4096 d=   7 |I|=   6 |Px|=   6 |I-Px|=0 |Px-I|=0 |V*|=   30 |valid|=   24 |P*|=  6 λ2=   6
n=12 q= 4096 d=   9 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n=12 q= 4096 d=  13 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
n=12 q= 4096 d=  15 |I|=  14 |Px|=  14 |I-Px|=0 |Px-I|=0 |V*|=  182 |valid|=  168 |P*|= 14 λ2=  14
n=12 q= 4096 d=  21 |I|=   8 |Px|=   8 |I-Px|=0 |Px-I|=0 |V*|=  104 |valid|=   96 |P*|=  8 λ2=   8
n=12 q= 4096 d=  35 |I|=   6 |Px|=   6 |I-Px|=0 |Px-I|=0 |V*|=   30 |valid|=   24 |P*|=  6 λ2=   6
n=12 q= 4096 d=  39 |I|=   2 |Px|=   2 |I-Px|=0 |Px-I|=0 |V*|=    2 |valid|=    0 |P*|=  2 λ2=   2
n=12 q= 4096 d=  45 |I|=  14 |Px|=  14 |I-Px|=0 |Px-I|=0 |V*|=  182 |valid|=  168 |P*|= 14 λ2=  14
n=12 q= 4096 d=  63 |I|=  62 |Px|=  62 |I-Px|=0 |Px-I|=0 |V*|= 3782 |valid|= 3720 |P*|= 62 λ2=  62
n=12 q= 4096 d=  65 |I|=   0 |Px|=   0 |I-Px|=0 |Px-I|=0 |V*|=    0 |valid|=    0 |P*|=  0 λ2=   0
