STATS: {'case': 204, 'mis_raw': 23, 'mis_val': 0, 'blind': 126, 'blind_cap': 19, 'blind_noncap': 107, 'nb': 78, 'nb_cap': 35, 'nb_noncap': 43, 'cross_eq': 78, 'cross_neq': 0}
BLIND:
(3, 2, 9, 4, True, 1, 0, 0.25, 2, 2, 2)
(3, 2, 9, 8, False, 7, 6, 0.875, 1, 2, 2)
(3, 3, 27, 13, False, 7, 6, 0.5385, 2, 3, 1)
(3, 3, 27, 26, False, 25, 24, 0.9615, 1, 3, 2)
(3, 4, 81, 4, True, 1, 0, 0.25, 20, 2, 2)
(3, 4, 81, 8, False, 7, 6, 0.875, 10, 2, 2)
(3, 4, 81, 40, False, 19, 18, 0.475, 2, 4, 2)
(3, 4, 81, 80, False, 79, 78, 0.9875, 1, 4, 2)
(3, 5, 243, 121, False, 61, 60, 0.5041, 2, 5, 1)
(3, 5, 243, 242, False, 241, 240, 0.9959, 1, 5, 2)
(3, 6, 729, 4, True, 1, 0, 0.25, 182, 2, 2)
(3, 6, 729, 8, False, 7, 6, 0.875, 91, 2, 2)
(3, 6, 729, 13, False, 7, 6, 0.5385, 56, 3, 1)
(3, 6, 729, 26, False, 25, 24, 0.9615, 28, 3, 2)
(3, 6, 729, 364, False, 181, 180, 0.4973, 2, 6, 2)
(3, 6, 729, 728, False, 727, 726, 0.9986, 1, 6, 2)
(3, 7, 2187, 1093, False, 547, 546, 0.5005, 2, 7, 1)
(5, 2, 25, 4, True, 3, 0, 0.75, 6, 1, 4)
(5, 2, 25, 6, False, 2, 2, 0.3333, 4, 2, 2)
(5, 2, 25, 8, True, 3, 0, 0.375, 3, 2, 4)
(5, 2, 25, 12, False, 5, 2, 0.4167, 2, 2, 4)
(5, 2, 25, 24, False, 23, 20, 0.9583, 1, 2, 4)
(5, 3, 125, 4, True, 3, 0, 0.75, 31, 1, 4)
(5, 3, 125, 31, False, 12, 12, 0.3871, 4, 3, 1)
(5, 3, 125, 62, False, 30, 30, 0.4839, 2, 3, 2)
(5, 3, 125, 124, False, 123, 120, 0.9919, 1, 3, 4)
(5, 4, 625, 4, True, 3, 0, 0.75, 156, 1, 4)
(5, 4, 625, 6, False, 2, 2, 0.3333, 104, 2, 2)
(5, 4, 625, 8, True, 3, 0, 0.375, 78, 2, 4)
(5, 4, 625, 12, False, 5, 2, 0.4167, 52, 2, 4)
(5, 4, 625, 24, False, 23, 20, 0.9583, 26, 2, 4)
(5, 4, 625, 156, False, 41, 38, 0.2628, 4, 4, 4)
(5, 4, 625, 208, False, 63, 60, 0.3029, 3, 4, 4)
(5, 4, 625, 312, False, 155, 152, 0.4968, 2, 4, 4)
(5, 4, 625, 624, False, 623, 620, 0.9984, 1, 4, 4)
(7, 2, 49, 3, False, 2, 2, 0.6667, 16, 1, 3)
(7, 2, 49, 6, False, 5, 2, 0.8333, 8, 1, 6)
(7, 2, 49, 8, True, 0, 0, 0.0, 6, 2, 2)
(7, 2, 49, 12, False, 5, 2, 0.4167, 4, 2, 6)
(7, 2, 49, 16, False, 6, 6, 0.375, 3, 2, 2)
(7, 2, 49, 24, False, 11, 8, 0.4583, 2, 2, 6)
(7, 2, 49, 48, False, 47, 44, 0.9792, 1, 2, 6)
(7, 3, 343, 3, False, 2, 2, 0.6667, 114, 1, 3)
(7, 3, 343, 6, False, 5, 2, 0.8333, 57, 1, 6)
(7, 3, 343, 57, False, 14, 14, 0.2456, 6, 3, 3)
(7, 3, 343, 114, False, 35, 32, 0.307, 3, 3, 6)
(7, 3, 343, 171, False, 86, 86, 0.5029, 2, 3, 3)
(7, 3, 343, 342, False, 341, 338, 0.9971, 1, 3, 6)
(7, 4, 2401, 3, False, 2, 2, 0.6667, 800, 1, 3)
(7, 4, 2401, 6, False, 5, 2, 0.8333, 400, 1, 6)
(7, 4, 2401, 8, True, 0, 0, 0.0, 300, 2, 2)
(7, 4, 2401, 12, False, 5, 2, 0.4167, 200, 2, 6)
(7, 4, 2401, 16, False, 6, 6, 0.375, 150, 2, 2)
(7, 4, 2401, 24, False, 11, 8, 0.4583, 100, 2, 6)
(7, 4, 2401, 48, False, 47, 44, 0.9792, 50, 2, 6)
(7, 4, 2401, 400, False, 78, 78, 0.195, 6, 4, 2)
(7, 4, 2401, 480, False, 119, 116, 0.2479, 5, 4, 6)
(7, 4, 2401, 600, False, 131, 128, 0.2183, 4, 4, 6)
(7, 4, 2401, 800, False, 258, 258, 0.3225, 3, 4, 2)
(7, 4, 2401, 1200, False, 599, 596, 0.4992, 2, 4, 6)
(11, 2, 121, 5, True, 3, 0, 0.6, 24, 1, 5)
(11, 2, 121, 10, False, 9, 6, 0.9, 12, 1, 10)
(11, 2, 121, 12, False, 2, 2, 0.1667, 10, 2, 2)
(11, 2, 121, 15, False, 5, 2, 0.3333, 8, 2, 5)
(11, 2, 121, 20, False, 9, 6, 0.45, 6, 2, 10)
(11, 2, 121, 24, False, 2, 2, 0.0833, 5, 2, 2)
(11, 2, 121, 30, False, 11, 8, 0.3667, 4, 2, 10)
(11, 2, 121, 40, False, 15, 12, 0.375, 3, 2, 10)
(11, 2, 121, 60, False, 29, 26, 0.4833, 2, 2, 10)
(11, 2, 121, 120, False, 119, 116, 0.9917, 1, 2, 10)
(11, 3, 1331, 5, True, 3, 0, 0.6, 266, 1, 5)
(11, 3, 1331, 10, False, 9, 6, 0.9, 133, 1, 10)
(11, 3, 1331, 133, False, 24, 24, 0.1805, 10, 3, 1)
(11, 3, 1331, 190, False, 27, 24, 0.1421, 7, 3, 10)
(11, 3, 1331, 266, False, 60, 60, 0.2256, 5, 3, 2)
(11, 3, 1331, 665, False, 333, 330, 0.5008, 2, 3, 5)
(13, 2, 169, 3, False, 2, 2, 0.6667, 56, 1, 3)
(13, 2, 169, 4, True, 0, 0, 0.0, 42, 1, 4)
(13, 2, 169, 6, False, 2, 2, 0.3333, 28, 1, 6)
(13, 2, 169, 12, False, 11, 8, 0.9167, 14, 1, 12)
(13, 2, 169, 14, True, 0, 0, 0.0, 12, 2, 2)
(13, 2, 169, 21, False, 8, 8, 0.381, 8, 2, 3)
(13, 2, 169, 24, False, 11, 8, 0.4583, 7, 2, 12)
(13, 2, 169, 28, False, 6, 6, 0.2143, 6, 2, 4)
(13, 2, 169, 42, False, 8, 8, 0.1905, 4, 2, 6)
(13, 2, 169, 56, False, 18, 18, 0.3214, 3, 2, 4)
(13, 2, 169, 84, False, 41, 38, 0.4881, 2, 2, 12)
(13, 2, 169, 168, False, 167, 164, 0.994, 1, 2, 12)
(13, 3, 2197, 3, False, 2, 2, 0.6667, 732, 1, 3)
(13, 3, 2197, 4, True, 0, 0, 0.0, 549, 1, 4)
(13, 3, 2197, 6, False, 2, 2, 0.3333, 366, 1, 6)
(13, 3, 2197, 12, False, 11, 8, 0.9167, 183, 1, 12)
(13, 3, 2197, 183, False, 26, 26, 0.1421, 12, 3, 3)
(13, 3, 2197, 244, False, 6, 6, 0.0246, 9, 3, 4)
(13, 3, 2197, 366, False, 80, 80, 0.2186, 6, 3, 6)
(13, 3, 2197, 549, False, 134, 134, 0.2441, 4, 3, 3)
(13, 3, 2197, 732, False, 251, 248, 0.3429, 3, 3, 12)
(13, 3, 2197, 1098, False, 548, 548, 0.4991, 2, 3, 6)
(17, 2, 289, 4, True, 0, 0, 0.0, 72, 1, 4)
(17, 2, 289, 8, True, 3, 0, 0.375, 36, 1, 8)
(17, 2, 289, 16, False, 15, 12, 0.9375, 18, 1, 16)
(17, 2, 289, 18, False, 2, 2, 0.1111, 16, 2, 2)
(17, 2, 289, 24, False, 5, 2, 0.2083, 12, 2, 8)
(17, 2, 289, 32, False, 15, 12, 0.4688, 9, 2, 16)
(17, 2, 289, 36, False, 8, 8, 0.2222, 8, 2, 4)
(17, 2, 289, 48, False, 17, 14, 0.3542, 6, 2, 16)
(17, 2, 289, 72, False, 23, 20, 0.3194, 4, 2, 8)
(17, 2, 289, 96, False, 35, 32, 0.3646, 3, 2, 16)
(17, 2, 289, 144, False, 71, 68, 0.4931, 2, 2, 16)
(17, 2, 289, 288, False, 287, 284, 0.9965, 1, 2, 16)
(19, 2, 361, 3, False, 2, 2, 0.6667, 120, 1, 3)
(19, 2, 361, 6, False, 2, 2, 0.3333, 60, 1, 6)
(19, 2, 361, 9, False, 5, 2, 0.5556, 40, 1, 9)
(19, 2, 361, 18, False, 17, 14, 0.9444, 20, 1, 18)
(19, 2, 361, 20, True, 0, 0, 0.0, 18, 2, 2)
(19, 2, 361, 24, False, 2, 2, 0.0833, 15, 2, 6)
(19, 2, 361, 30, False, 2, 2, 0.0667, 12, 2, 6)
(19, 2, 361, 36, False, 17, 14, 0.4722, 10, 2, 18)
