====================================================================================================
BL12: ratio RHS / LHS_bound  as a function of lambda = k/H^2   (>1 required)
====================================================================================================
    lambda        H            ratio        ok?
      0.02       20         1.403002         ok
      0.05       20         1.382200         ok
      0.10       20         1.348325         ok
      0.30       20         1.222197         ok
      0.50       20         1.109709         ok
      0.80       20         0.963074       FAIL
      1.00       20         0.878056       FAIL
      1.50       20         0.701924       FAIL
      2.00       20         0.566820       FAIL
      3.00       20         0.380648       FAIL
      5.00       20         0.191407       FAIL
      8.00       20         0.085550       FAIL
     12.00       20         0.039265       FAIL
     20.00       20         0.014205       FAIL
     50.00       20         0.002273       FAIL

      0.02      100         1.652439         ok
      0.05      100         1.627910         ok
      0.10      100         1.587967         ok
      0.30      100         1.439255         ok
      0.50      100         1.306643         ok
      0.80      100         1.133803         ok
      1.00      100         1.033609         ok
      1.50      100         0.826078       FAIL
      2.00      100         0.666934       FAIL
      3.00      100         0.447717       FAIL
      5.00      100         0.225021       FAIL
      8.00      100         0.100538       FAIL
     12.00      100         0.046137       FAIL
     20.00      100         0.016690       FAIL
     50.00      100         0.002671       FAIL

      0.02     1000         1.498398         ok
      0.05     1000         1.476154         ok
      0.10     1000         1.439933         ok
      0.30     1000         1.305078         ok
      0.50     1000         1.184823         ok
      0.80     1000         1.028091         ok
      1.00     1000         0.937235       FAIL
      1.50     1000         0.749046       FAIL
      2.00     1000         0.604737       FAIL
      3.00     1000         0.405958       FAIL
      5.00     1000         0.204029       FAIL
      8.00     1000         0.091157       FAIL
     12.00     1000         0.041832       FAIL
     20.00     1000         0.015133       FAIL
     50.00     1000         0.002422       FAIL

      0.02    10000         1.354044         ok
      0.05    10000         1.333943         ok
      0.10    10000         1.301211         ok
      0.30    10000         1.179348         ok
      0.50    10000         1.070679         ok
      0.80    10000         0.929046       FAIL
      1.00    10000         0.846942       FAIL
      1.50    10000         0.676884       FAIL
      2.00    10000         0.546477       FAIL
      3.00    10000         0.366848       FAIL
      5.00    10000         0.184373       FAIL
      8.00    10000         0.082375       FAIL
     12.00    10000         0.037802       FAIL
     20.00    10000         0.013675       FAIL
     50.00    10000         0.002188       FAIL

      0.02   100000         1.270749         ok
      0.05   100000         1.251885         ok
      0.10   100000         1.221166         ok
      0.30   100000         1.106800         ok
      0.50   100000         1.004815         ok
      0.80   100000         0.871895       FAIL
      1.00   100000         0.794842       FAIL
      1.50   100000         0.635245       FAIL
      2.00   100000         0.512860       FAIL
      3.00   100000         0.344281       FAIL
      5.00   100000         0.173031       FAIL
      8.00   100000         0.077308       FAIL
     12.00   100000         0.035477       FAIL
     20.00   100000         0.012834       FAIL
     50.00   100000         0.002054       FAIL

  worst ratio over the table: 0.002054  at (lambda=50.000, H=100000, k=500000000000)

====================================================================================================
READ-OFF  (conclusion generated from the numbers above)
====================================================================================================
  * if every ratio exceeds 1, then the intermediate band is closed as well and the three
    regimes (crude for small lambda, this sweep for the middle, the closed form for large).
    together cover all k >= 2 at all H > e, modulo the explicit constants.
