====================================================================================================
BL4b (precision-fixed): required threshold for a in Conjecture 3.2.7
====================================================================================================
      k    tau         H    a_need(formA)    a_need(formB)   margin@a=1/2pi
      2    1.0       100       0.05355352       0.01586771          18.6729
      2    1.0      1000       0.06216188       0.01841833          16.0870
      2    1.0     10000       0.06659399       0.01973155          15.0164
      2    1.0    100000       0.06923665       0.02051456          14.4432
      2    1.0     1e+06       0.12022622       0.03562258           8.3177
      2    1.5       100       0.05355619       0.01586850          18.6720
      2    1.5      1000       0.06216191       0.01841834          16.0870
      2    1.5     10000       0.06659399       0.01973155          15.0164
      2    1.5    100000       0.06923665       0.02051456          14.4432
      2    1.5     1e+06       0.12022622       0.03562258           8.3177
      2    1.9       100       0.05355834       0.01586914          18.6712
      2    1.9      1000       0.06216194       0.01841835          16.0870
      2    1.9     10000       0.06659399       0.01973155          15.0164
      2    1.9    100000       0.06923665       0.02051456          14.4432
      2    1.9     1e+06       0.12022622       0.03562258           8.3177
     32    1.0       100       0.05355351       0.01586771          18.6729
     32    1.0      1000       0.06216188       0.01841833          16.0870
     32    1.0     10000       0.06659399       0.01973155          15.0164
     32    1.0    100000       0.06923665       0.02051456          14.4432
     32    1.0     1e+06       0.12022622       0.03562258           8.3177
     32    1.5       100       0.05355617       0.01586849          18.6720
     32    1.5      1000       0.06216191       0.01841834          16.0870
     32    1.5     10000       0.06659399       0.01973155          15.0164
     32    1.5    100000       0.06923665       0.02051456          14.4432
     32    1.5     1e+06       0.12022622       0.03562258           8.3177
     32    1.9       100       0.05355830       0.01586912          18.6712
     32    1.9      1000       0.06216194       0.01841835          16.0870
     32    1.9     10000       0.06659399       0.01973155          15.0164
     32    1.9    100000       0.06923665       0.02051456          14.4432
     32    1.9     1e+06       0.12022622       0.03562258           8.3177

  ==> a_need(formA): min 0.053554  max 0.120226   (k-independent)
  ==> with a = 1/(2 pi) = 0.159155, margin RHS/LHS ranges 8.32 .. 18.67
